2016-09-20-11-23-53-665,0,,
2016-09-20-11-24-00-008,6024,,
2016-09-20-11-25-00-005,32733,,
2016-09-20-11-26-00-014,5567,,
2016-09-20-13-39-40-202,0,,
2016-09-20-13-40-00-010,10773,,
2016-09-20-13-41-00-007,8378,,
2016-09-20-13-42-00-027,1670,,
2016-09-20-13-43-00-034,0,,
2016-09-20-13-44-00-004,1529,,
2016-09-20-13-45-00-005,0,,
2016-09-20-13-46-00-011,0,,
2016-09-20-13-47-00-006,0,,
2016-09-20-13-48-00-038,0,,
2016-09-20-13-49-00-008,0,,
2016-09-20-13-50-00-014,0,,
2016-09-20-13-51-00-015,0,,
2016-09-20-13-52-00-010,0,,
2016-09-20-13-53-00-038,0,,
2016-09-20-13-54-00-011,575119,,
2016-09-20-13-55-00-000,0,,
2016-09-20-14-03-07-049,0,,
2016-09-20-14-04-00-023,50319,,
2016-09-20-14-05-00-011,10500,,
2016-09-20-14-06-00-009,33950,,
2016-09-20-14-07-00-004,0,,
2016-09-20-14-08-00-010,0,,
2016-09-20-14-09-00-009,8803,,
2016-09-20-15-55-31-666,0,,
2016-09-20-15-56-00-009,63437,,
2016-09-20-15-57-00-005,0,,
2016-09-20-15-58-00-022,0,,
2016-09-20-15-59-00-011,0,,
2016-09-20-16-00-00-027,0,,
2016-09-20-16-01-00-011,0,,
2016-09-20-16-02-00-008,0,,
2016-09-20-16-03-00-005,0,,
2016-09-20-16-04-00-010,0,,
2016-09-20-16-05-00-017,0,,
2016-09-20-16-06-00-007,0,,
2016-09-20-16-07-00-014,0,,
2016-09-20-16-08-00-031,0,,
2016-09-20-16-09-00-013,0,,
2016-09-20-16-10-00-025,0,,
2016-09-20-16-11-00-010,0,,
2016-09-20-16-12-00-026,0,,
2016-09-20-16-13-00-012,0,,
2016-09-20-16-14-00-028,0,,
2016-09-20-16-15-00-018,0,,
2016-09-20-16-16-00-006,0,,
2016-09-20-16-17-00-006,14800,,
2016-09-20-16-18-00-006,0,,
2016-09-20-16-19-00-025,40220,,
2016-09-20-16-20-00-013,0,,
2016-09-20-16-21-00-010,0,,
2016-09-20-16-22-00-005,0,,
2016-09-20-16-23-00-016,0,,
2016-09-20-16-24-00-023,0,,
2016-09-20-16-25-00-008,0,,
2016-09-20-16-26-00-028,0,,
2016-09-20-16-27-00-005,0,,
2016-09-20-16-28-00-017,0,,
2016-09-20-16-29-00-006,0,,
2016-09-20-16-30-00-011,0,,
2016-09-20-16-31-00-024,0,,
2016-09-20-16-32-00-018,0,,
2016-09-20-16-33-00-019,0,,
2016-09-20-16-34-00-010,0,,
2016-09-20-16-35-00-023,0,,
2016-09-20-16-36-00-034,0,,
2016-09-20-16-37-00-021,0,,
2016-09-20-16-38-00-017,0,,
2016-09-20-16-39-00-034,0,,
2016-09-20-16-40-00-028,0,,
2016-09-20-16-41-00-032,0,,
2016-09-20-16-42-00-004,0,,
2016-09-20-16-43-00-020,0,,
2016-09-20-16-44-00-005,0,,
